AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
3	1	12	12	11	1	8	1
12	3	12	20	1	3	19	1
11	2	12	13	3	2	13	1
18	3	12	12	3	3	15	1
0	1	12	14	4	4	14	1
3	1	14	12	3	3	14	1
6	1	12	12	2	3	12	1
1	3	16	20	11	2	15	-1
1	3	16	16	1	3	16	1
12	1	12	14	3	1	11	1
4	3	9	12	1	13	5	1
6	1	5.5	12	3	3	9	1
10	1	16	12	5	2	16	-1
1	1	16	13	11	11	13	1
2	3	13	14	1	3	14	-1
4	3	16	17	2	3	4	-1
1	1	16	17	2	2	13	1
0	1	16	16	2	13	18	1
7	1	13	13	1	1	7	1
2	2	13	14	1	1	13	1
4	3	16	12	3	3	11	1
5	1	12	12	5	5	10	1
3	3	16	16	2	2	15	1
3	3	13	12	11	11	12	1
10	3	16	17	2	2	13	1
7	1	13	17	2	3	13	-1
6	1	16	16	3	3	17	1
2	3	13	17	5	2	3	-1
0	3	16	16	2	3	9	1
0	3	16	16	3	13	10	1
1	3	12	12	1	1	10	1
1	3	16	16	2	2	13	1
2	1	12	12	11	11	12	1
13	1	17	16	2	2	14	-1
13	1	16	12	3	3	13	-1
9	1	20	16	3	3	13	-1
1	1	13	16	2	13	13	1
3	2	20	17	2	3	11	1
5	3	14	13	2	13	10	1
0	1	17	13	13	1	17	1
0	1	16	13	11	11	19	1
1	1	14	13	4	3	8	-1
2	3	11	16	3	2	16	1
7	3	17	20	4	5	19	1
4	3	20	16	2	13	12	1
8	1	20	16	2	2	16	1
2	3	11	11	2	2	11	1
10	3	12	17	3	1	14	1
6	3	12	16	11	11	11	1
6	3	12	13	13	13	12	1
7	1	13	13	3	13	10	-1
2	1	12	14	1	2	8	1
16	1	16	13	13	2	17	1
4	3	16	17	5	5	16	1
9	-1	13	16	3	13	7	-1
0	1	16	16	1	3	16	1
1	1	14	12	11	11	6	1
4	3	12	13	3	3	9	1
10	3	13	12	2	2	1	-1
3	1	17	16	13	2	14	1
3	1	12	17	1	2	17	1
3	3	13	13	13	11	8	1
10	3	12	16	3	2	10	1
5	3	12	13	3	11	16	1
0	3	20	17	2	2	8	1
1	1	16	16	11	3	16	1
0	2	13	14	3	3	11	1
4	3	12	13	11	13	11	-1
1	2	12	13	3	3	14	1
