Q9	PPAGE	PPGENDER	pp4_ppwork	PP2_RESPONDENT_YRSED	PARTNER_YRSED	PARENTAL_APPROVAL	PPINCIMP	Q7B	PAPRELIGION	success
50	40	1	2	12	12	1	11	11	2	1
34	36	1	4	12	20	1	16	11	11	1
51	47	2	1	12	14	1	15	3	3	1
52	54	1	1	12	12	1	13	3	3	1
55	52	2	1	12	12	1	4	1	1	-1
36	34	2	7	12	14	1	11	3	3	1
38	42	1	1	17	16	1	16	3	3	1
41	29	2	1	13	12	1	8	3	3	-1
27	24	2	7	16	13	1	11	1	1	1
34	23	2	1	16	16	0	16	3	3	-1
27	25	2	1	13	12	1	9	3	1	-1
42	42	1	1	17	16	1	13	2	2	1
56	57	2	3	20	16	1	15	2	2	1
39	34	1	1	13	17	1	16	3	3	1
46	47	2	6	13	13	1	5	3	3	1
60	59	2	5	17	13	1	15	2	2	1
50	49	2	1	17	12	1	17	3	3	1
77	73	1	5	12	12	1	8	1	1	1
52	49	1	1	16	20	1	12	3	13	-1
31	34	1	1	17	17	1	16	3	2	1
39	28	2	6	16	9	1	5	11	3	-1
64	59	2	2	12	12	1	13	3	3	1
28	27	2	2	13	13	1	19	13	13	1
48	50	1	1	16	16	1	16	3	3	1
24	23	2	2	16	12	1	14	1	3	1
46	48	1	1	16	16	1	14	13	2	1
39	41	1	4	13	12	0	13	3	3	1
63	62	1	5	13	14	1	10	2	13	1
55	53	2	1	17	17	0	17	13	13	1
39	54	1	6	14	16	1	2	12	12	1
32	34	1	1	13	13	0	7	2	2	-1
52	58	1	2	16	16	0	16	13	13	-1
32	41	1	1	17	17	1	13	6	3	-1
53	52	2	7	16	20	1	14	2	2	1
38	47	1	1	17	17	0	14	2	3	1
43	47	1	1	12	14	1	17	3	11	1
35	37	1	1	17	14	1	14	11	11	1
47	53	2	1	16	16	1	16	3	13	1
36	40	1	1	12	12	1	12	3	13	1
24	26	2	1	16	13	1	7	3	11	1
52	51	2	1	16	13	1	12	3	5	-1
39	40	1	1	13	12	1	13	1	2	1
42	45	1	2	16	17	1	16	10	5	1
38	23	2	1	14	16	1	7	13	8	1
52	54	1	1	17	17	1	17	13	13	1
25	29	1	7	16	16	1	9	13	13	-1
28	30	1	1	17	17	1	11	2	2	1
36	39	2	1	17	20	0	15	11	12	-1
61	62	1	5	12	12	1	6	3	3	1
44	41	2	2	16	16	1	19	1	13	1
31	29	2	7	13	12	1	9	1	1	1
